,Price,Address,City,bed,bath,SQFT
0,"$235,000",512Eberhart#206,AustinTX78745,1,1,832sq.ft
1,"$479,000",10900MickelsonDr,AustinTX78747,3,3,
2,"$325,000",11929GaelicDrive,AustinTX78754,2,2,
3,"$620,000",12708TierraGrandeTrail,AustinTX78732,2,2,"2,002sq.ft"
4,"$650,000",1819PiedmontAvenue,AustinTX78757,2,2,
5,"$398,000",9306HuntersTrce,AustinTX78758,2,2,
6,"$475,000",2627JonesRd,AustinTX78745,,,
7,"$675,000",51WhiteMagnoliaCIR51,AustinTX78734,2,2,"2,722sq.ft"
8,"$549,000",181RobertoDR17A,LakewayTX78734,2,2,"2,535sq.ft"
9,"$400,000",604NBluffDR126,AustinTX78745,2,2,"1,383sq.ft"
10,"$1,825,000",6100GenaCt,AustinTX78757,3,3,
11,"$459,900",417HackberryLn,AustinTX78753,,,
12,"$2,350,000",15012WHighway71,AustinTX78738,2,2,
13,"$899,000",1511BayHillDr,AustinTX78746,2,2,
14,"$624,900",16612CordilleraDrive,RoundRockTX78681,2,2,
15,"$439,000",3600SLamarBlvdUnit214,AustinTX78704,1,1,
16,"$360,000",3001CedarStUnitA-312,AustinTX78705,2,2,
17,"$665,000",5607MapleleafDrive,AustinTX78723,2,2,
18,"$750,000",2303FalkirkCove,RoundRockTX78681,3,3,"3,288sq.ft"
19,"$430,000",3820TailfeatherDrive,RoundRockTX78681,2,2,"3,239sq.ft"
20,"$799,000",9556IndigoBrushDR,AustinTX78726,3,3,"3,540sq.ft"
21,"$399,900",11100SeayStreet,AustinTX78754,2,2,"2,192sq.ft"
22,"$330,000",11000AndersonMillRoad14,AustinTX78750,2,2,"1,326sq.ft"
23,"$649,000",4700Destiny'sGateDr,AustinTX78727,3,3,
24,"$630,000",19ChandonLn,LakewayTX78734,3,3,
25,"$749,000",3006CovingtonPl,RoundRockTX78681,3,3,
26,"$575,000",12703PoquosonDr,AustinTX78727,2,2,
27,"$565,000",5505WoodrowAve,AustinTX78756,2,2,
28,"$400,000",8625WhiteIbisDr,AustinTX78729,2,2,
29,"$395,000","11391/2PoquitoStreet,4",AustinTX78702,1,1,624sq.ft
30,"$4,600,000",9104AtwaterCove,AustinTX78733,4,4,"6,413sq.ft"
31,"$455,000",12506FallenTowerLane,AustinTX78753,2,2,"2,348sq.ft"
32,"$1,000,000",1121SalinaStUnitB,AustinTX78702,2,2,
33,"$645,000",3501GraysonLn,AustinTX78722,1,1,
34,"$595,000",914E50thSt,AustinTX78751,1,1,
35,"$495,000",814StarkSt,AustinTX78756,1,1,
36,"$470,000",10117WillfieldDr,AustinTX78753,2,2,
37,"$549,000",10836AmblewoodWay,AustinTX78753,2,2,
38,"$1,995,000",1203E9thSt,AustinTX78702,1,1,
39,"$385,000",4008HighlandDr,AustinTX78734,1,1,
40,"$2,500,000",8701WUSHighway290,AustinTX78736,2,2,"2,373sq.ft"
41,"$2,500,000",8703WUSHighway290,AustinTX78736,2,2,"2,530sq.ft"
42,"$2,500,000",12011BucknerRD,AustinTX78726,4,4,"4,826sq.ft"
43,"$2,500,000",12011BucknerRD,AustinTX78726,4,4,"4,826sq.ft"
44,"$2,500,000",40WaterFrontAve,LakewayTX78734,5,5,"5,643sq.ft"
45,"$2,495,000",903KinneyAve,AustinTX78704,3,3,"3,476sq.ft"
46,"$2,495,000",TbdMorningGroveLN,BeeCaveTX78738,4,4,"4,505sq.ft"
47,"$2,490,000",8109BellanciaDR,AustinTX78738,4,4,"5,389sq.ft"
48,"$2,477,000",15505SuttonDR,AustinTX78734,1,1,500sq.ft
49,"$2,475,000",11411NFm620,AustinTX78726,3,3,"3,780sq.ft"
50,"$2,450,000",1910HollyHillDR,AustinTX78746,3,3,"3,242sq.ft"
51,"$2,425,000",409RoughHollowCV,AustinTX78734,4,4,"6,454sq.ft"
52,"$2,400,000",2010OxfordAve,AustinTX78704,4,4,"3,272sq.ft"
53,"$2,399,000",8116MagnoliaRidgeCV,AustinTX78738,5,5,"4,651sq.ft"
54,"$2,395,000",6004CaryDR,AustinTX78757,5,5,"3,502sq.ft"
55,"$2,395,000",546DelayneDR,AustinTX78737,4,4,"4,773sq.ft"
56,"$2,350,000",1906FrazierAve,AustinTX78704,2,2,"2,358sq.ft"
57,"$2,340,000",200CONGRESSAve16AC,AustinTX78701,3,3,"2,689sq.ft"
58,"$2,300,000",6001HoodHOLW,AustinTX78731,4,4,"5,427sq.ft"
59,"$2,250,000",1608JulietST,AustinTX78704,4,4,"2,928sq.ft"
60,"$1,450,000",4816PecanChase,AustinTX78736,,,
61,"$1,450,000",1410KarenAve,AustinTX78757,3,3,"2,494sq.ft"
62,"$1,450,000",10301IndigoBroomLOOP,AustinTX78733,4,4,"3,954sq.ft"
63,"$1,450,000",106GalaxyST,LakewayTX78734,4,4,"4,117sq.ft"
64,"$1,443,200",0DavyCrockettDR,AustinTX78737,,,
65,"$1,443,200",TbdDavyCrockettDR,AustinTX78737,,,
66,"$1,431,000",6108CapeCoralDR,AustinTX78746,3,3,"3,100sq.ft"
67,"$1,425,000",4601CrestwayDR,AustinTX78731,2,2,"2,118sq.ft"
68,"$1,400,000",44EastAve4105,AustinTX78701,3,3,"1,594sq.ft"
69,"$1,400,000",310RidgewoodRD,AustinTX78746,2,2,"1,801sq.ft"
70,"$1,400,000",2301S5thST11,AustinTX78704,3,3,"2,000sq.ft"
71,"$1,400,000",8213BellMountainDR,AustinTX78730,3,3,"3,303sq.ft"
72,"$1,400,000",400LunaVistaDr,TheHillsTX78738,4,4,"4,694sq.ft"
73,"$1,400,000",4606ConnellyST,AustinTX78751,14,14,"6,376sq.ft"
74,"$1,399,995",301WestAve2004,AustinTX78701,2,2,"1,474sq.ft"
75,"$1,399,000",11910UplandsRidgeDR,BeeCaveTX78738,3,3,"4,518sq.ft"
76,"$1,395,000",7438FireoakDR,AustinTX78759,4,4,"4,581sq.ft"
77,"$1,385,000",10820AlberoCV,AustinTX78739,4,4,"4,068sq.ft"
78,"$1,375,000",1513AlamedaDR,AustinTX78704,3,3,"2,015sq.ft"
79,"$1,359,000",1506HillmontST,AustinTX78704,2,2,"1,470sq.ft"
